repeat	count	RPM
RSP_LIKE.het.U_102_170432_170596	62.72	2.22
RSP_LIKE.5A.X_5192130_5192293__reversed_	13731.05	485.08
RSP_LIKE.3A.X_2214029_2214191	67.57	2.39
RSP_LIKE.het.U_102_135686_135833	1.86	0.07
RSP_LIKE.het.U_102_151777_151929	5.00	0.18
RSP_LIKE.het.U_102_165550_165713	22350.03	789.56
RSP_LIKE.het.U_102_183309_183472	1984.16	70.09
RSP_LIKE.het.U_102_169128_169295	30.59	1.08
RSP_LIKE.het.U_102_162622_162784	19.83	0.70
RSP_LIKE.het.U_102_133255_133419	33.87	1.20
RSP_LIKE.het.U_102_208327_208489	57.74	2.04
RSP_LIKE.het.U_10_30459_30621__reversed_	435.37	15.38
RSP_LIKE.het.U_10_2873_3026__reversed_	2433.26	85.96
RSP_LIKE.het.U_102_215825_215985	1212.49	42.83
RSP_LIKE.het.U_102_209139_209300	114.97	4.06
RSP_LIKE.het.U_10_23743_23906__reversed_	1645.82	58.14
RSP_LIKE.het.U_102_219928_220091	151.17	5.34
RSP_LIKE.het.U_102_203085_203247	605.51	21.39
RSP_LIKE.het.U_102_194898_195062	1179.36	41.66
RSP_LIKE.het.U_102_155982_156145	8.72	0.31
RSP_LIKE.het.U_102_223017_223173	230.64	8.15
RSP_LIKE.het.U_102_174519_174681	451.30	15.94
RSP_LIKE.het.U_102_146723_146872	9.95	0.35
RSP_LIKE.het.U_102_134548_134706	395.71	13.98
RSP_LIKE.het.U_102_137428_137589	11.56	0.41
RSP_LIKE.het.U_102_175163_175328	43.71	1.54
RSP_LIKE.het.U_102_230962_231118	194.23	6.86
RSP_LIKE.het.U_102_176484_176647	4163.31	147.08
RSP_LIKE.het.U_102_167174_167336	76.65	2.71
RSP_LIKE.het.U_102_121856_122019	1314.06	46.42
RSP_LIKE.het.U_102_146109_146243	0.00	0.00
RSP_LIKE.5A.X_5192932_5193095__reversed_	2977.13	105.17
RSP_LIKE.5A.X_5192613_5192773__reversed_	2617.21	92.46
RSP_LIKE.het.U_102_203575_203739	40.14	1.42
RSP_LIKE.het.U_102_158894_159055	4.56	0.16
RSP_LIKE.het.U_102_229022_229176	45.84	1.62
RSP_LIKE.het.U_102_216970_217132	87.09	3.08
RSP_LIKE.het.U_102_140671_140832	3.31	0.12
RSP_LIKE.het.U_102_233071_233234	332.99	11.76
RSP_LIKE.het.U_102_149692_149853	49.79	1.76
RSP_LIKE.het.U_102_159056_159219	35.96	1.27
RSP_LIKE.het.U_102_136639_136796	10.41	0.37
RSP_LIKE.het.U_102_167985_168147	19.84	0.70
RSP_LIKE.het.U_102_163109_163269	2.92	0.10
RSP_LIKE.het.U_10_3837_3999__reversed_	279.48	9.87
RSP_LIKE.het.U_102_226422_226579	1196.62	42.27
RSP_LIKE.het.U_102_175329_175492	40.31	1.42
RSP_LIKE.het.U_102_118413_118575	492.02	17.38
RSP_LIKE.het.U_102_164414_164573	0.73	0.03
RSP_LIKE.het.U_10_21942_22104__reversed_	478.95	16.92
RSP_LIKE.het.U_102_232417_232580	239.61	8.46
RSP_LIKE.het.U_102_227393_227553	171.05	6.04
RSP_LIKE.het.U_102_131798_131961	1268.82	44.82
RSP_LIKE.het.U_102_215185_215342	892.07	31.51
RSP_LIKE.het.U_102_169296_169456	9.09	0.32
RSP_LIKE.het.U_102_131318_131480	6.50	0.23
RSP_LIKE.het.U_102_134390_134547	130.95	4.63
RSP_LIKE.het.U_102_179077_179240	170.95	6.04
RSP_LIKE.het.U_102_229338_229495	167.75	5.93
RSP_LIKE.het.U_102_176966_177122	7.82	0.28
RSP_LIKE.het.U_102_213052_213216	252.79	8.93
RSP_LIKE.het.U_102_157452_157611	8.17	0.29
RSP_LIKE.het.U_102_171745_171903	91.54	3.23
RSP_LIKE.het.U_102_173701_173865	122.01	4.31
RSP_LIKE.het.U_102_172064_172229	15.89	0.56
RSP_LIKE.het.U_102_137590_137753	26.86	0.95
RSP_LIKE.het.U_10_22924_23086__reversed_	548.26	19.37
RSP_LIKE.het.U_102_162785_162946	13.78	0.49
RSP_LIKE.het.U_102_206364_206526	148.42	5.24
RSP_LIKE.het.U_102_205051_205215	339.02	11.98
RSP_LIKE.het.U_102_187864_188026	39.73	1.40
RSP_LIKE.het.U_102_177437_177598	5.19	0.18
RSP_LIKE.het.U_102_193261_193425	334.02	11.80
RSP_LIKE.het.U_102_133747_133905	62.91	2.22
RSP_LIKE.het.U_102_130499_130663	7.96	0.28
RSP_LIKE.het.U_102_167337_167498	72.85	2.57
RSP_LIKE.het.U_102_175657_175821	43.23	1.53
RSP_LIKE.het.U_102_163433_163597	210.65	7.44
RSP_LIKE.het.U_102_117920_118083	414.09	14.63
RSP_LIKE.het.U_102_118248_118411	337.42	11.92
RSP_LIKE.het.U_102_180230_180392	30.30	1.07
RSP_LIKE.het.U_102_154527_154683	11.95	0.42
RSP_LIKE.het.U_102_155172_155335	23.04	0.81
RSP_LIKE.het.U_102_125461_125624	5634.03	199.03
RSP_LIKE.het.U_102_126277_126438	235.62	8.32
RSP_LIKE.het.U_102_170270_170431	1449.83	51.22
RSP_LIKE.het.U_102_169943_170106	5594.16	197.63
RSP_LIKE.het.U_102_129526_129684	1.00	0.04
RSP_LIKE.het.U_102_232091_232253	203.73	7.20
RSP_LIKE.het.U_102_165065_165222	1561.14	55.15
RSP_LIKE.het.U_102_140347_140508	12.82	0.45
RSP_LIKE.het.U_102_169783_169942	352.47	12.45
RSP_LIKE.het.U_102_134068_134224	2.38	0.08
RSP_LIKE.het.U_102_178423_178587	18.54	0.65
RSP_LIKE.het.U_102_122348_122511	7583.80	267.91
RSP_LIKE.het.U_102_124477_124640	1808.16	63.88
RSP_LIKE.het.U_102_132126_132289	7586.86	268.02
RSP_LIKE.het.U_102_175989_176155	142.52	5.03
RSP_LIKE.het.U_102_163763_163925	14533.96	513.44
RSP_LIKE.het.U_102_132760_132923	1456.68	51.46
RSP_LIKE.het.U_102_120380_120543	831.19	29.36
RSP_LIKE.het.U_102_160679_160840	4734.05	167.24
RSP_LIKE.het.U_102_182492_182656	817.86	28.89
RSP_LIKE.het.U_102_126439_126602	343.45	12.13
RSP_LIKE.het.U_102_127732_127895	3235.70	114.31
RSP_LIKE.het.U_102_213872_214036	253.30	8.95
RSP_LIKE.het.U_102_167660_167822	1008.98	35.64
RSP_LIKE.het.U_10_31933_32096__reversed_	1894.07	66.91
RSP_LIKE.het.U_102_171418_171580	281.95	9.96
RSP_LIKE.het.U_102_161983_162145	190.71	6.74
RSP_LIKE.het.U_102_126766_126929	451.88	15.96
RSP_LIKE.het.U_102_170597_170756	319.37	11.28
RSP_LIKE.het.U_102_135357_135518	29.67	1.05
RSP_LIKE.het.U_102_155498_155662	28.59	1.01
RSP_LIKE.het.U_102_136961_137111	1.00	0.04
RSP_LIKE.het.U_102_154205_154368	322.68	11.40
RSP_LIKE.het.U_102_172884_173048	25.20	0.89
RSP_LIKE.het.U_102_141958_142122	3.06	0.11
RSP_LIKE.het.U_102_180557_180696	26.64	0.94
RSP_LIKE.het.U_102_202430_202592	31.70	1.12
RSP_LIKE.het.U_10_7414_7574__reversed_	606.32	21.42
RSP_LIKE.het.U_102_181514_181675	42.19	1.49
RSP_LIKE.het.U_10_28168_28331__reversed_	466.27	16.47
RSP_LIKE.het.U_102_148145_148305	21.34	0.75
RSP_LIKE.het.U_102_169457_169619	19.34	0.68
RSP_LIKE.het.U_102_193590_193750	75.49	2.67
RSP_LIKE.het.U_102_227882_228039	562.85	19.88
RSP_LIKE.het.U_102_226108_226266	180.40	6.37
RSP_LIKE.het.U_102_148936_149092	2.51	0.09
RSP_LIKE.het.U_10_267_424__reversed_	37.13	1.31
RSP_LIKE.het.U_102_147511_147666	1.35	0.05
RSP_LIKE.het.U_102_160035_160194	19.68	0.70
RSP_LIKE.het.U_102_149376_149530	0.71	0.03
RSP_LIKE.5A.X_5191811_5191971__reversed_	6024.23	212.82
RSP_LIKE.5A.X_5192294_5192454__reversed_	8225.35	290.58
RSP_LIKE.het.U_102_231119_231279	365.56	12.91
RSP_LIKE.het.U_102_138243_138402	234.69	8.29
RSP_LIKE.het.U_102_137269_137427	33.44	1.18
RSP_LIKE.het.U_102_229183_229337	187.47	6.62
RSP_LIKE.het.U_102_147823_147982	143.12	5.06
RSP_LIKE.het.U_102_215343_215502	419.44	14.82
RSP_LIKE.het.U_102_231437_231600	202.86	7.17
RSP_LIKE.het.U_102_145157_145316	1165.58	41.18
RSP_LIKE.het.U_10_13106_13265__reversed_	494.85	17.48
RSP_LIKE.het.U_10_12133_12293__reversed_	2372.83	83.83
RSP_LIKE.het.U_102_143247_143407	231.70	8.19
RSP_LIKE.het.U_102_211747_211904	204.91	7.24
RSP_LIKE.het.U_102_157769_157929	15.61	0.55
RSP_LIKE.het.U_102_213545_213707	170.74	6.03
RSP_LIKE.het.U_102_123659_123820	1739.13	61.44
RSP_LIKE.het.U_102_125788_125949	532.40	18.81
RSP_LIKE.het.U_102_185103_185265	294.44	10.40
RSP_LIKE.het.U_102_207672_207835	1077.36	38.06
RSP_LIKE.het.U_102_207836_207998	1206.76	42.63
RSP_LIKE.het.U_102_160362_160515	131.80	4.66
RSP_LIKE.het.U_102_147195_147352	14.40	0.51
RSP_LIKE.het.U_102_151148_151299	2.80	0.10
RSP_LIKE.het.U_102_179897_180068	0.00	0.00
RSP_LIKE.het.U_102_158422_158574	2.54	0.09
RSP_LIKE.het.U_102_154848_155008	11.17	0.39
RSP_LIKE.het.U_102_174194_174355	64.23	2.27
RSP_LIKE.het.U_102_158095_158257	32.20	1.14
RSP_LIKE.het.U_102_129848_130008	6.61	0.23
RSP_LIKE.het.U_102_164574_164736	22.00	0.78
RSP_LIKE.het.U_102_206527_206689	60.32	2.13
RSP_LIKE.het.U_102_163270_163432	7.46	0.26
RSP_LIKE.het.U_102_220584_220739	313.20	11.06
RSP_LIKE.het.U_102_222689_222852	304.53	10.76
RSP_LIKE.het.U_102_146564_146722	0.03	0.00
RSP_LIKE.het.U_102_160195_160356	59.52	2.10
RSP_LIKE.het.U_102_141801_141957	3.93	0.14
RSP_LIKE.het.U_102_198996_199158	305.17	10.78
RSP_LIKE.het.U_10_6285_6441__reversed_	1847.53	65.27
RSP_LIKE.het.U_10_750_912__reversed_	321.10	11.34
RSP_LIKE.het.U_10_32260_32423__reversed_	1385.76	48.95
RSP_LIKE.het.U_102_211905_212067	165.69	5.85
RSP_LIKE.het.U_102_174356_174518	262.13	9.26
RSP_LIKE.het.U_102_177928_178093	40.35	1.43
RSP_LIKE.het.U_102_164254_164413	1.77	0.06
RSP_LIKE.het.U_102_211105_211267	108.80	3.84
RSP_LIKE.het.U_102_149233_149372	1.00	0.04
RSP_LIKE.het.U_102_147039_147190	4.28	0.15
RSP_LIKE.het.U_102_146251_146406	2.00	0.07
RSP_LIKE.het.U_102_151622_151773	1.00	0.04
RSP_LIKE.het.U_102_208982_209138	219.31	7.75
RSP_LIKE.het.U_102_154684_154847	48.11	1.70
RSP_LIKE.het.U_102_145644_145791	121.72	4.30
RSP_LIKE.het.U_102_149098_149227	0.00	0.00
RSP_LIKE.het.U_102_131635_131797	62.72	2.22
RSP_LIKE.het.U_102_157285_157447	46.94	1.66
RSP_LIKE.het.U_102_139539_139696	1.00	0.04
RSP_LIKE.het.U_102_178912_179076	33.85	1.20
RSP_LIKE.het.U_102_163598_163762	2188.86	77.33
RSP_LIKE.het.U_10_425_587__reversed_	150.64	5.32
RSP_LIKE.het.U_102_130827_130989	288.30	10.18
RSP_LIKE.het.U_102_201939_202101	321.07	11.34
RSP_LIKE.het.U_102_179568_179732	104.54	3.69
RSP_LIKE.het.U_102_126930_127093	123.23	4.35
RSP_LIKE.het.U_102_139860_140021	32.11	1.13
RSP_LIKE.het.U_102_126603_126765	253.66	8.96
RSP_LIKE.het.U_102_157612_157767	6.06	0.21
RSP_LIKE.het.U_102_133093_133253	10.63	0.38
RSP_LIKE.het.U_102_149531_149691	8.27	0.29
RSP_LIKE.het.U_102_124641_124804	1527.95	53.98
RSP_LIKE.het.U_102_121692_121855	2250.43	79.50
