repeat	count	RPM
RSP.het.utg_2021.0_300616.quiver_232263_232378__reversed_	31.07	0.94
RSP.het.utg_2021.0_300616.quiver_203505_203620__reversed_	16.84	0.51
RSP.het.utg_2021.0_300616.quiver_218545_218659__reversed_	11.20	0.34
RSP.het.G2_Rsp_corrected_mapped_consensus_23072_23185	3.46	0.10
RSP.het.utg_2021.0_300616.quiver_204801_204916__reversed_	11.68	0.35
RSP.het.utg_2021.0_300616.quiver_212256_212371__reversed_	26.12	0.79
RSP.het.utg_2021.0_300616.quiver_210391_210506__reversed_	19.70	0.60
RSP.het.utg_2021.0_300616.quiver_241637_241752__reversed_	33.48	1.01
RSP.het.utg_2021.0_300616.quiver_226233_226348__reversed_	19.63	0.59
RSP.het.utg_2021.0_300616.quiver_243618_243733__reversed_	43.32	1.31
RSP.het.utg_2021.0_300616.quiver_245482_245597__reversed_	30.76	0.93
RSP.het.utg_2021.0_300616.quiver_210158_210273__reversed_	36.63	1.11
RSP.het.utg_2021.0_300616.quiver_231347_231462__reversed_	36.60	1.11
RSP.het.utg_2021.0_300616.quiver_256213_256328__reversed_	47.49	1.44
RSP.het.utg_2021.0_300616.quiver_213888_214003__reversed_	44.45	1.35
RSP.het.utg_2021.0_300616.quiver_233595_233710__reversed_	16.62	0.50
RSP.het.utg_2021.0_300616.quiver_215287_215402__reversed_	16.34	0.49
RSP.het.utg_2021.0_300616.quiver_212023_212138__reversed_	34.69	1.05
RSP.het.utg_2021.0_300616.quiver_214354_214469__reversed_	20.40	0.62
RSP.het.utg_2021.0_300616.quiver_283501_283615__reversed_	3.07	0.09
RSP.het.utg_2021.0_300616.quiver_164124_164238	3.79	0.11
RSP.het.G2_Rsp_corrected_mapped_consensus_16779_16894	4.00	0.12
RSP.het.G2_Rsp_corrected_mapped_consensus_15615_15730	0.00	0.00
RSP.het.G2_Rsp_corrected_mapped_consensus_14915_15030	20.23	0.61
RSP.het.G2_Rsp_corrected_mapped_consensus_16081_16196	15.84	0.48
RSP.het.G2_Rsp_corrected_mapped_consensus_14216_14331	9.46	0.29
RSP.het.utg_2021.0_300616.quiver_228097_228212__reversed_	15.18	0.46
RSP.het.utg_2539.0_24622056.quiver_23596618_23596728__reversed_	3.69	0.11
RSP.het.utg_2539.0_24622056.quiver_23596375_23596490__reversed_	6.73	0.20
RSP.het.utg_2021.0_300616.quiver_210624_210739__reversed_	7.15	0.22
RSP.het.utg_2021.0_300616.quiver_220175_220290__reversed_	24.60	0.74
RSP.het.utg_2021.0_300616.quiver_231697_231796__reversed_	22.71	0.69
RSP.het.utg_2021.0_300616.quiver_220524_220639__reversed_	17.14	0.52
RSP.het.utg_2021.0_300616.quiver_215403_215518__reversed_	5.60	0.17
RSP.het.utg_2021.0_300616.quiver_230864_230979__reversed_	9.42	0.29
RSP.het.utg_2021.0_300616.quiver_185073_185188__reversed_	4.21	0.13
RSP.het.utg_2021.0_300616.quiver_190387_190501__reversed_	7.26	0.22
RSP.het.utg_2021.0_300616.quiver_190728_190842__reversed_	10.90	0.33
RSP.het.utg_2021.0_300616.quiver_296516_296632__reversed_	3.18	0.10
RSP.het.utg_2021.0_300616.quiver_188923_189037__reversed_	2.67	0.08
RSP.het.utg_2021.0_300616.quiver_188346_188460__reversed_	2.28	0.07
RSP.het.utg_2021.0_300616.quiver_295233_295347__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_187127_187242__reversed_	22.21	0.67
RSP.het.utg_2021.0_300616.quiver_299059_299174__reversed_	6.75	0.20
RSP.het.utg_2021.0_300616.quiver_186570_186685__reversed_	10.96	0.33
RSP.het.utg_2021.0_300616.quiver_298502_298617__reversed_	0.00	0.00
RSP.het.G2_Rsp_corrected_mapped_consensus_20978_21092	56.11	1.70
RSP.het.utg_2021.0_300616.quiver_272730_272845__reversed_	27.00	0.82
RSP.het.G2_Rsp_corrected_mapped_consensus_1660_1776	16.66	0.50
RSP.het.utg_2021.0_300616.quiver_259709_259824__reversed_	74.99	2.27
RSP.het.G2_Rsp_corrected_mapped_consensus_22143_22256	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_257381_257494__reversed_	39.90	1.21
RSP.het.utg_2021.0_300616.quiver_274363_274478__reversed_	32.29	0.98
RSP.het.G2_Rsp_corrected_mapped_consensus_23534_23648	2.31	0.07
