"repeats"	"read_count"	"num_annotations"	"num_bases"	"perc_reads"	"RPM"	"conRPM"	"ncountsRPM"	"nconRPM"
"1021"	"1.688.seq1021.count:1"	18.07	1	358	2e-05	0.17	0.64	0.17	0.265625
"1067"	"1.688.seq1067.count:1"	17.2	1	257	2e-05	0.17	0.74	0.17	0.22972972972973
"93"	"1.688.seq93.count:2"	16.99	2	692	2e-05	0.16	1.02	0.08	0.156862745098039
"152"	"1.688.seq152.count:2"	16.21	2	716	2e-05	0.16	1.05	0.08	0.152380952380952
"210"	"1.688.seq210.count:1"	16.54	1	361	2e-05	0.16	0.51	0.16	0.313725490196078
"219"	"1.688.seq219.count:1"	16.9	1	240	2e-05	0.16	0.74	0.16	0.216216216216216
"280"	"1.688.seq280.count:1"	16.97	1	355	2e-05	0.16	0.76	0.16	0.210526315789474
"311"	"1.688.seq311.count:1"	16.8	1	345	2e-05	0.16	1.62	0.16	0.0987654320987654
"325"	"1.688.seq325.count:1"	16.92	1	350	2e-05	0.16	0.56	0.16	0.285714285714286
"462"	"1.688.seq462.count:1"	16.21	1	358	2e-05	0.16	0.22	0.16	0.727272727272727
"499"	"1.688.seq499.count:1"	16.78	1	359	2e-05	0.16	1.42	0.16	0.112676056338028
"540"	"1.688.seq540.count:1"	16.48	1	352	2e-05	0.16	0.83	0.16	0.192771084337349
"577"	"1.688.seq577.count:1"	16.69	1	362	2e-05	0.16	0.42	0.16	0.380952380952381
"679"	"1.688.seq679.count:1"	16.62	1	362	2e-05	0.16	0.63	0.16	0.253968253968254
"881"	"1.688.seq881.count:1"	16.91	1	359	2e-05	0.16	1.17	0.16	0.136752136752137
"945"	"1.688.seq945.count:1"	17.18	1	346	2e-05	0.16	0.56	0.16	0.285714285714286
"1193"	"1.688.seq1193.count:1"	16.57	1	359	2e-05	0.16	1.09	0.16	0.146788990825688
"1208"	"1.688.seq1208.count:1"	16.74	1	360	2e-05	0.16	0.73	0.16	0.219178082191781
"1218"	"1.688.seq1218.count:1"	17.17	1	360	2e-05	0.16	0.56	0.16	0.285714285714286
"1234"	"1.688.seq1234.count:1"	16.69	1	337	2e-05	0.16	0.84	0.16	0.19047619047619
"1242"	"1.688.seq1242.count:1"	16.71	1	350	2e-05	0.16	0.47	0.16	0.340425531914894
"1329"	"1.688.seq1329.count:1"	16.4	1	354	2e-05	0.16	0.48	0.16	0.333333333333333
"114"	"1.688.seq114.count:2"	15.23	2	688	1e-05	0.15	1.62	0.075	0.0925925925925926
"120"	"1.688.seq120.count:2"	15.79	2	708	2e-05	0.15	1.18	0.075	0.127118644067797
"177"	"1.688.seq177.count:2"	15.53	2	706	1e-05	0.15	0.49	0.075	0.306122448979592
"211"	"1.688.seq211.count:1"	16	1	358	2e-05	0.15	0.47	0.15	0.319148936170213
"260"	"1.688.seq260.count:1"	15.57	1	363	1e-05	0.15	0.45	0.15	0.333333333333333
"410"	"1.688.seq410.count:1"	15.74	1	361	2e-05	0.15	1.1	0.15	0.136363636363636
"474"	"1.688.seq474.count:1"	15.4	1	362	1e-05	0.15	0.61	0.15	0.245901639344262
"476"	"1.688.seq476.count:1"	16	1	255	2e-05	0.15	1.01	0.15	0.148514851485149
