repeat	count	RPM
1.688.1A.X_238129_238481__reversed_	4.56	0.14
1.688.1A.X_202808_203163__reversed_	22.63	0.69
1.688.3F.X_3857851_3858208__reversed_	3.00	0.09
1.688.4A.X_4070884_4071241	3.51	0.11
1.688.1A.X_243399_243720__reversed_	1.38	0.04
1.688.9D.X_10623532_10623871__reversed_	1.83	0.06
1.688.9F.X_10971589_10971935__reversed_	1.48	0.04
1.688.9F.X_10949487_10949812__reversed_	0.00	0.00
1.688.9B.X_10395133_10395481__reversed_	0.10	0.00
1.688.9B.X_10396180_10396528__reversed_	12.77	0.39
1.688.9B.X_10395831_10396179__reversed_	11.16	0.34
1.688.9B.X_10395482_10395830__reversed_	13.57	0.41
1.688.9D.X_10622029_10622361__reversed_	0.92	0.03
1.688.9F.X_10949820_10950166__reversed_	0.00	0.00
1.688.9E.X_10662118_10662427__reversed_	1.53	0.05
1.688.11A.X_12337772_12338106__reversed_	6.65	0.20
1.688.11A.X_12336875_12337208__reversed_	2.96	0.09
1.688.11A.X_12336514_12336847__reversed_	2.86	0.09
1.688.11A.X_12338133_12338467__reversed_	2.82	0.09
1.688.11A.X_12289442_12289783__reversed_	0.56	0.02
1.688.11D.X_13019337_13019701__reversed_	1.00	0.03
1.688.11D.X_13019697_13020060__reversed_	5.00	0.15
1.688.11D.X_12998324_12998689__reversed_	2.00	0.06
1.688.dere.consensus_1_389	*	*
1.688.4C.X_4663225_4663580__reversed_	0.00	0.00
1.688.4E.X_4964641_4964969	1.85	0.06
1.688.4E.X_5007894_5008256	0.00	0.00
1.688.4C.X_4662876_4663222__reversed_	0.20	0.01
1.688.4C.X_4714431_4714765	0.79	0.02
1.688.4D.X_4823734_4824073	0.53	0.02
1.688.4D.X_4871571_4871913__reversed_	3.00	0.09
1.688.4D.X_4824097_4824431	0.00	0.00
1.688.2B.X_1703875_1704220__reversed_	4.97	0.15
1.688.2B.X_1703526_1703872__reversed_	3.87	0.12
1.688.2B.X_1704223_1704570__reversed_	3.23	0.10
1.688.2B.X_1856041_1856388	0.21	0.01
1.688.2B.X_1539689_1540024	2.17	0.07
1.688.2B.X_1540038_1540373	6.01	0.18
1.688.2B.X_1540379_1540690	1.48	0.04
1.688.10A.X_11065429_11065782	1.00	0.03
1.688.10A.X_11105944_11106275__reversed_	0.93	0.03
1.688.10A.X_11177960_11178297	0.91	0.03
1.688.10B.X_11249049_11249390__reversed_	2.00	0.06
1.688.10B.X_11249406_11249747__reversed_	1.00	0.03
1.688.10B.X_11249765_11250104__reversed_	1.81	0.05
1.688.10B.X_11271479_11271830	2.92	0.09
1.688.10B.X_11272194_11272545	3.76	0.11
1.688.10B.X_11272552_11272878	2.18	0.07
1.688.10B.X_11271854_11272189	2.33	0.07
1.688.10B.X_11309871_11310209__reversed_	2.09	0.06
1.688.7E.X_8338927_8339273__reversed_	1.16	0.04
1.688.7F.X_8611931_8612267	0.79	0.02
1.688.8A.X_8664955_8665293__reversed_	1.44	0.04
1.688.8A.X_8664596_8664934__reversed_	0.56	0.02
1.688.7F.X_8612288_8612625	0.08	0.00
1.688.7F.X_8612995_8613341	3.68	0.11
1.688.7F.X_8612637_8612983	1.00	0.03
1.688.7C.X_7820833_7821187__reversed_	10.23	0.31
1.688.7C.X_7819403_7819759__reversed_	15.26	0.46
1.688.7C.X_7814395_7814751__reversed_	11.06	0.33
1.688.7C.X_7812966_7813323__reversed_	5.27	0.16
1.688.7C.X_7819045_7819401__reversed_	14.56	0.44
1.688.7C.X_7815827_7816183__reversed_	7.20	0.22
1.688.7C.X_7815469_7815825__reversed_	5.89	0.18
1.688.7C.X_7815111_7815467__reversed_	8.00	0.24
1.688.7C.X_7816541_7816897__reversed_	10.24	0.31
1.688.7C.X_7820117_7820473__reversed_	19.47	0.59
1.688.7C.X_7818687_7819043__reversed_	17.14	0.52
1.688.7C.X_7817257_7817613__reversed_	21.38	0.65
1.688.7C.X_7817615_7817971__reversed_	8.04	0.24
1.688.7C.X_7820475_7820831__reversed_	12.01	0.36
1.688.7C.X_7814753_7815109__reversed_	9.60	0.29
1.688.7C.X_7816899_7817256__reversed_	21.74	0.66
1.688.7C.X_7817973_7818330__reversed_	18.23	0.55
1.688.7C.X_7814039_7814393__reversed_	13.13	0.40
1.688.7C.X_7821189_7821545__reversed_	2.59	0.08
1.688.7C.X_7813681_7814037__reversed_	5.37	0.16
1.688.7C.X_7813325_7813680__reversed_	13.30	0.40
1.688.7C.X_7816185_7816540__reversed_	10.64	0.32
1.688.7C.X_7819761_7820116__reversed_	11.29	0.34
1.688.7C.X_7818331_7818686__reversed_	12.85	0.39
1.688.12F.X_14565883_14566206__reversed_	1.18	0.04
1.688.7D.X_8001155_8001506__reversed_	0.00	0.00
1.688.7D.X_7989825_7990160__reversed_	0.91	0.03
1.688.7B.X_7788792_7789136__reversed_	1.77	0.05
1.688.7B.X_7753421_7753771	1.08	0.03
1.688.7B.X_7753092_7753413	0.89	0.03
1.688.6F.X_7116918_7117230__reversed_	0.27	0.01
1.688.2E.X_2211205_2211567__reversed_	1.41	0.04
1.688.2E.X_2210488_2210850__reversed_	5.23	0.16
1.688.2E.X_2210875_2211209__reversed_	2.80	0.08
1.688.3A.X_2424085_2424397__reversed_	0.34	0.01
1.688.3A.X_2421223_2421535__reversed_	2.65	0.08
1.688.3A.X_2423727_2424039__reversed_	1.23	0.04
1.688.3A.X_2420507_2420820__reversed_	5.57	0.17
1.688.3A.X_2421581_2421893__reversed_	7.67	0.23
1.688.3A.X_2423370_2423682__reversed_	3.28	0.10
