repeat	count	RPM
1.688.12E.X_14263878_14264232__reversed_	23.01	2.03
1.688.12E.X_14272709_14273063__reversed_	42.88	3.78
1.688.12E.X_14264954_14265315__reversed_	44.70	3.94
1.688.12E.X_14266038_14266399__reversed_	47.70	4.20
1.688.12E.X_14147758_14148112__reversed_	4.46	0.39
1.688.12E.X_14287780_14288134__reversed_	21.35	1.88
1.688.12E.X_14270356_14270683__reversed_	33.69	2.97
1.688.12E.X_14278456_14278810__reversed_	45.50	4.01
1.688.12E.X_14274508_14274862__reversed_	43.27	3.81
1.688.12E.X_14276302_14276656__reversed_	48.09	4.24
1.688.12E.X_14277020_14277374__reversed_	41.54	3.66
1.688.4C.X_4316123_4316454	4.37	0.39
1.688.6D.X_6591626_6591943__reversed_	4.16	0.37
1.688.5A.X_5441869_5442187	2.10	0.19
1.688.4C.X_4489588_4489932__reversed_	2.23	0.20
1.688.4C.X_4539689_4540023	14.96	1.32
1.688.4C.X_4540048_4540382	10.01	0.88
1.688.4D.X_4685164_4685508__reversed_	24.96	2.20
1.688.4D.X_4644736_4645079	3.81	0.34
1.688.4D.X_4645094_4645439	1.45	0.13
1.688.4D.X_4773552_4773876	6.90	0.61
1.688.6F.X_6915463_6915767	2.83	0.25
1.688.2E.X_2177048_2177395__reversed_	60.86	5.37
1.688.2E.X_2178718_2179047__reversed_	21.53	1.90
1.688.2E.X_2176334_2176680__reversed_	38.74	3.41
1.688.2E.X_2176691_2177037__reversed_	65.71	5.79
1.688.2E.X_2177406_2177753__reversed_	70.53	6.22
1.688.2E.X_2175976_2176323__reversed_	27.03	2.38
1.688.2E.X_2177764_2178111__reversed_	58.81	5.18
1.688.7A.X_6989335_6989658	12.75	1.12
1.688.6E.X_6737818_6738131	43.70	3.85
1.688.6E.X_6739255_6739568	36.73	3.24
1.688.7B.X_7219625_7219939	3.44	0.30
1.688.6E.X_6738536_6738850	38.00	3.35
1.688.6E.X_6738176_6738490	51.98	4.58
1.688.6E.X_6738896_6739210	38.23	3.37
1.688.6E.X_6737459_6737773	40.80	3.60
1.688.6E.X_6807101_6807413__reversed_	3.33	0.29
1.688.6E.X_6656668_6656979	29.42	2.59
1.688.6E.X_6650544_6650855	45.55	4.02
1.688.6E.X_6653427_6653738	49.18	4.34
1.688.6E.X_6647994_6648293	13.56	1.20
1.688.6E.X_6659555_6659866	10.93	0.96
1.688.6E.X_6656314_6656625	30.09	2.65
1.688.6E.X_6692739_6693049__reversed_	24.26	2.14
1.688.6E.X_6701072_6701385__reversed_	70.96	6.26
1.688.6E.X_6699926_6700239__reversed_	55.31	4.88
1.688.6E.X_6698280_6698593__reversed_	64.99	5.73
1.688.6E.X_6699568_6699881__reversed_	78.20	6.89
1.688.6E.X_6697208_6697521__reversed_	73.88	6.51
1.688.6E.X_6693094_6693407__reversed_	39.39	3.47
1.688.6E.X_6693452_6693764__reversed_	44.39	3.91
1.688.6E.X_6709666_6709978__reversed_	79.54	7.01
1.688.6E.X_6707008_6707320__reversed_	95.23	8.40
1.688.6E.X_6713482_6713787__reversed_	40.51	3.57
